UTC,HARD_C,MEAN_H_E
2024-10-03 22:48:34,338,55.28378121312796
2024-10-03 22:48:35,74,56.90863817219819
2024-10-03 22:48:41,327,63.218151283130325
2024-10-03 22:48:42,123,55.2567961338888
2024-10-03 22:48:49,125,66.12477048262022
2024-10-03 22:48:50,243,54.076988303322516
2024-10-03 22:48:56,318,53.815304883764256
2024-10-03 22:48:58,107,63.93368161616482
2024-10-03 22:49:04,372,64.8040233492018
2024-10-03 22:49:13,419,63.5790939456388
2024-10-03 22:49:20,281,56.51249819446356
2024-10-03 22:49:22,154,66.56421755970837
2024-10-03 22:49:28,492,49.503170230053435
2024-10-03 22:49:34,304,58.898394873681795
2024-10-03 22:49:35,170,51.514799278432626
2024-10-03 22:49:42,241,65.65580918830881
2024-10-03 22:49:43,168,63.830901201668766
2024-10-03 22:49:48,342,52.826209970664536
2024-10-03 22:49:49,95,58.79018160862252
2024-10-03 22:49:56,378,59.09913602793946
2024-10-03 22:49:58,24,66.97718477000672
2024-10-03 22:50:03,42,50.61592625981874
2024-10-03 22:50:04,394,51.501918113393394
2024-10-03 22:50:10,303,56.91879601868975
2024-10-03 22:50:11,118,62.627024725846
2024-10-03 22:50:15,409,52.09182703015731
2024-10-03 22:50:18,39,49.654732875245216
2024-10-03 22:50:23,386,61.26783719590064
2024-10-03 22:50:32,437,57.82890493286624
2024-10-03 22:50:37,108,50.07857004977518
2024-10-03 22:50:40,328,53.378280472321755
2024-10-03 22:50:45,305,62.565124878371584
2024-10-03 22:50:46,80,59.69928681396143
2024-10-03 22:50:53,343,57.79721182049056
2024-10-03 22:50:54,101,59.32596470662527
2024-10-03 22:51:02,386,63.80536117927863
2024-10-03 22:51:09,205,78.37225290961706
2024-10-03 22:51:10,153,72.97536630383537
2024-10-03 22:51:16,230,65.7064812290884
2024-10-03 22:51:17,218,50.70354074605664
2024-10-03 22:51:24,269,57.642065362735835
2024-10-03 22:51:25,168,55.9444757110533
2024-10-03 22:51:32,279,56.28655253935875
2024-10-03 22:51:33,155,48.40791039151889
2024-10-03 22:51:39,398,63.39310361856834
2024-10-03 22:51:47,406,62.490779347170005
2024-10-03 22:51:54,398,58.90584465739235
2024-10-03 22:52:03,425,60.8420450612946
2024-10-03 22:52:11,424,64.67843959247227
2024-10-03 22:52:19,432,59.20693398819284
2024-10-03 22:52:24,21,58.47320759794576
2024-10-03 22:52:26,414,50.49751564574771
2024-10-03 22:52:32,429,59.54573777461431
2024-10-03 22:52:41,422,63.14112566326982
2024-10-03 22:52:46,121,54.24202870473319
2024-10-03 22:52:49,334,48.45122997042741
2024-10-03 22:52:55,351,61.03676484830625
2024-10-03 22:53:02,314,55.81401559963883
2024-10-03 22:53:03,95,53.63686214451374
2024-10-03 22:53:08,29,54.37797431769805
2024-10-03 22:53:09,422,50.53556694879221
2024-10-03 22:53:17,396,63.86792412798632
2024-10-03 22:53:25,382,64.08354955149066
2024-10-03 22:53:32,262,72.42883189813686
2024-10-03 22:53:34,45,67.13627270815374
2024-10-03 22:53:39,55,48.19662095536378
2024-10-03 22:53:41,348,60.40380958000046
2024-10-03 22:53:47,401,57.845980492003115
2024-10-03 22:53:55,102,72.71480626293969
2024-10-03 22:53:57,299,60.92623373737816
2024-10-03 22:54:02,376,46.117638538478126
2024-10-03 22:54:04,108,49.36510264310635
2024-10-03 22:54:09,366,60.68338744188308
2024-10-03 22:54:16,21,78.93789549317387
2024-10-03 22:54:17,377,57.80013156246677
2024-10-03 22:54:23,56,57.16374120430279
2024-10-03 22:54:24,346,60.46907921688903
2024-10-03 22:54:30,220,58.29147224400167
2024-10-03 22:54:31,227,48.94719322060142
2024-10-03 22:54:38,396,61.51768820473704
2024-10-03 22:54:46,104,52.768986510159955
2024-10-03 22:54:49,350,53.254689177385515
2024-10-03 22:54:53,457,48.28508841970749
2024-10-03 22:54:58,368,72.10602868052173
2024-10-03 22:55:06,70,60.64430373879839
2024-10-03 22:55:07,337,58.68804006467195
2024-10-03 22:55:14,373,54.1203849588042
2024-10-03 22:55:15,54,72.8447635059578
2024-10-03 22:55:22,325,55.30145061651256
2024-10-03 22:55:23,117,54.730368125435206
2024-10-03 22:55:30,164,52.065603897609066
2024-10-03 22:55:31,260,58.32854985430831
2024-10-03 22:55:35,146,54.85979576855132
2024-10-03 22:55:36,286,52.929451921587344
2024-10-03 22:55:41,146,64.40860525682105
2024-10-03 22:55:42,307,49.17501353179376
2024-10-03 22:55:50,401,61.08727998037943
2024-10-03 22:55:56,451,58.108219133369495
2024-10-03 22:55:57,5,30.099583585562936
2024-10-03 22:56:04,138,61.2059068070086
2024-10-03 22:56:06,276,59.63745949062924
2024-10-03 22:56:09,208,34.75020956878533
2024-10-03 22:56:11,252,62.63501027662516
2024-10-03 22:56:17,436,59.72550169984636
2024-10-03 22:56:24,399,64.73584051988395
2024-10-03 22:56:32,351,64.02485109163177
